"Time","Rho"
"12.360869267551324","0.0"
"12.943382265138728","0.4780440766217652"
"24.016292617649274","0.5227179879196074"
"30.923390937453647","0.7198021647301764"
"32.04210505839486","0.6946710803491667"
"33.789123261479816","0.6587541075074885"
"42.8784754875363","0.6657409394697321"
"48.716594707709596","0.7777212145053233"
"52.65082171105675","0.719607557324922"
"53.13121936722078","0.8324657593478239"
"57.20931745467494","0.7731244287375245"
"60.15327790171618","0.8580051501194879"
"63.029916071913014","0.8188464375766508"
"67.21992547827882","0.7678054069387341"
"70.90439343315995","0.7279072528121211"
"71.67679672995396","0.8336831729007153"
"76.45316405783015","0.8902774395466639"
"79.35502153657096","0.8577217399062561"
"81.92052200059413","0.8996599511334268"
"90.22282366756228","0.8168732680262683"
"95.33614468799907","0.7730605539071771"
"96.26327856827076","0.8670966148194121"
"96.60316019432929","0.9550598926791586"
"110.40601832019064","0.8773322142219692"
"117.25901074451019","0.8260581076138667"
"119.49462739163214","0.8715203301908772"
"121.19469475964341","0.8592950155691905"
"122.64000105736494","0.8491682666545198"
"123.20656304961884","0.8901406388277122"
"124.64299516225799","0.8798823279076902"
"127.02441480551721","0.9072505595288071"
"135.15088232043772","0.8526986241413355"
"139.09673255683091","0.8285095507835875"
"139.22751591845534","0.8892916774465267"
"141.35840315836873","0.9120243258482372"
"152.91504291776508","0.868289430936042"
"153.34455298957133","0.8658573976583076"
"154.55280941543054","0.8907576236088965"
"164.80943187196507","0.8353229039944639"
"168.02828591059404","0.8193209404648678"
"186.04486888746106","0.7399779099537753"
"191.08645239850455","0.77501677535771"
"191.7922132473135","0.8078168606799627"
"193.1697813078428","0.826244582265679"
"198.12058106599312","0.8055977042076573"
"199.13404824594969","0.8014977180894902"
"204.8083097926784","0.7792920386121794"
"205.03794557231947","0.7784192570674986"
"205.80971821154662","0.7755002370636195"
"208.6210811051224","0.7952649468744996"
"211.59978476612426","0.7840699515140849"
"217.32320763385886","0.8015454133294587"
"224.7203613682908","0.8089139466227208"
"225.94548714262376","0.8253860880930315"
"230.14366150700315","0.8103297763395049"
"236.45594668712224","0.7886977019093141"
"237.89834986330752","0.811416710709585"
"238.85884343034022","0.8081538609041237"
"239.26573838367545","0.8329216337769143"
"240.07824996968765","0.8301027258676416"
"245.10130086993925","0.848615126180287"
"249.60882694317885","0.8332905286720671"
"251.79003144397916","0.826071906706812"
"253.01684240554732","0.8220665050878674"
"256.08325101031755","0.8122228632450306"
"257.6235830064833","0.8310099222452206"
"262.9333422132886","0.8456656369659696"
"263.0916844430007","0.8451566714970246"
"266.1994348996635","0.835289873572429"
"274.356497964488","0.8378825311610153"
"279.2098104654235","0.8515062762914624"
"282.42139892540075","0.8418232716008079"
"283.73555124717086","0.8640248431405639"
"288.7739087973591","0.8489498451599039"
"293.9801551678649","0.8551375689398819"
"293.9801551678649","0.8551375689398819"
"295.03781716764126","0.852072041544338"
"297.9676651399898","0.8436938118393106"
"297.9676651399898","0.8699409385235907"
"304.6383763642423","0.8508917141536855"
"305.1383211499232","0.8711028513441302"
"307.49063893859613","0.8644388737347509"
"321.43005030423507","0.8539263179620334"
"321.43005030423507","0.8707058492769871"
"324.41615040372227","0.8626914060382196"
"333.5027921303591","0.8514952860560027"
"336.73124176038846","0.8433314767614812"
"337.6103870881761","0.8411354219126788"
"354.78579238177497","0.800415522501919"
"359.6066451798399","0.8188649466539801"
"365.52880724017484","0.8268930930261084"
"366.29329224822413","0.8386425613969549"
"367.4909839303367","0.835909337279976"
"372.4532630937603","0.8247723278940454"
"374.96835060621004","0.8192401954376748"
"380.129765635152","0.8081165238936163"
"380.3365037139801","0.8076772590426551"
"382.95855424193763","0.8241974575551221"
"382.95855424193763","0.8415148798280074"
"386.2654551900469","0.8343104914558136"
"402.85411923240156","0.8143473900192572"
"403.6590916002507","0.8333152604877113"
"405.6694694788287","0.8291855965824679"
"413.72075202223436","0.8130490902883649"
"421.66255254962044","0.8151839161443257"
"423.5315926081461","0.824262999814079"
"424.2585711879","0.8228506027863167"
"426.21394294637855","0.8190755530565667"
"426.6564083703043","0.8182261280750113"
"427.79036076145076","0.8160572398542069"
"430.7772008558088","0.8242688537774638"
"431.1846265320661","0.8234900034323828"
"435.7925014633832","0.8147827885760823"
"437.7692230308586","0.8239334545986259"
"441.2000453236029","0.832892280589533"
"441.2000453236029","0.832892280589533"
"445.7147863924217","0.824455735292225"
"445.7147863924217","0.8349575165785545"
"452.6419374610528","0.8221794764224181"
"458.10743412188634","0.8261523200634815"
"459.7571840007507","0.8231878319872147"
"466.75052011682084","0.81085398564398"
"469.08644103963377","0.8203731915093762"
"471.58276262975556","0.8298694996440257"
"484.3909384560408","0.807926243442348"
"485.82878369082346","0.8195311110533067"
"488.6650726441642","0.8147744235646305"
"489.5108632120164","0.8133666335150771"
"495.8443474945994","0.8158566562170239"
"502.78002890803225","0.8127539190115121"
"503.66294844297227","0.8113291639954587"
"504.7898933025844","0.809517869350005"
"507.02573805305923","0.8280725661042354"
"507.37720366478237","0.8274989513874236"
"508.1399301286051","0.8262568617353684"
"508.66918862573283","0.8378164387410305"
"515.0233381615421","0.8375974036958752"
"515.9818754779035","0.8360414025925685"
"524.3015969513011","0.8227749322055922"
"525.6350017079995","0.8385074282014751"
"527.0918424922364","0.8361898590023134"
"529.2443532177087","0.8411905749173845"
"534.7908716452533","0.8324662692640319"
"538.4428885868826","0.8268200234260266"
"540.4313673926295","0.8374577350875229"
"545.2535796051452","0.8407390098341663"
"548.0020335508132","0.8365223604289019"
"552.4015246551879","0.8298600459365321"
