"Time","Risposta"
"30.923390937453647","NaN"
"32.04210505839486","Infinity"
"52.65082171105675","Infinity"
"56.59218228115601","Infinity"
"60.25739569782954","61.49065596990983"
"70.90439343315995","36.06882685262012"
"71.67679672995396","36.84123014941413"
"79.35502153657096","48.358567359339624"
"91.17023377572285","71.9889918376434"
"96.26327856827076","53.08570601764351"
"96.38240353203588","53.24453930266367"
"96.60316019432929","40.09897197371781"
"119.39109915621157","62.886910935600085"
"119.39109915621157","50.30952874848007"
"121.32910898513585","51.08473268004978"
"122.64000105736494","42.789092578746335"
"124.64299516225799","43.45675728037735"
"131.06186887037154","46.66619413443413"
"140.885508787363","53.21528741242843"
"141.2305100233484","45.76096116893239"
"144.47772286968566","47.616511366839404"
"147.77727686648228","49.973335650265554"
"154.58521189494414","55.80870853180429"
"159.29270103566685","51.77480067828045"
"164.90119274896767","48.51470803104965"
"166.94320933848255","49.649161691891244"
"181.23334377719812","59.1759179843683"
"188.27694000274366","56.780124298704244"
"202.05830977404977","56.629702006569715"
"214.7461067727169","55.08250942235569"
"218.1744778988331","56.22529979772776"
"222.36479114490234","52.867272100841596"
"230.35240585560422","55.324999704134484"
"231.2161887716774","51.55831035014056"
"244.55294571602607","55.36881233424018"
"245.11983348073113","51.79093573156518"
"245.3546708337268","51.85355902569736"
"249.72729869156944","53.311101644978244"
"265.8163482073179","54.001420171104215"
"275.1331234552395","52.469002851848956"
"294.0503296613982","51.65597004965276"
"295.148663657555","51.839025715678886"
"301.1139871465824","49.738584729488146"
"301.79635879060714","49.84632762064994"
"312.76705980263523","48.45108134082025"
"315.8352503883165","48.91130992867245"
"320.4899147280159","47.02550129775465"
"324.5763723108277","45.07372658343907"
"330.67714045411316","45.62834186919229"
"340.40261062799743","46.954542347449234"
"340.7567090947687","44.94383167727938"
"342.99223181077934","45.235421596759025"
"346.6401160759244","45.869836251566866"
"363.03237708909455","46.00762570106451"
"369.0772865872854","44.6509134328772"
"374.4143416536452","43.13884195724192"
"388.52031988908817","44.22391720612215"
"394.3099066441091","42.800423485711"
"395.59184156751877","42.89538162818579"
"403.9473204187646","43.8237681672131"
"417.6030872952253","43.23404550955983"
"421.92191735463035","43.69677730163893"
"423.60928567381245","42.306362106353596"
"446.4248384335903","41.65666846146773"
