"Time","Risposta"
"27.059891214984013","NaN"
"36.89123832827619","Infinity"
"44.805908111143594","Infinity"
"57.193859133061196","Infinity"
"153.97672346691252","Infinity"
"170.58214420023612","Infinity"
"191.5820866879669","Infinity"
"199.01179418675642","Infinity"
"205.79642616238237","Infinity"
"222.5733822544344","Infinity"
"229.32196916150215","Infinity"
"233.86485442133488","Infinity"
"250.2648125289178","Infinity"
"258.14962566473577","Infinity"
"265.9992528929505","Infinity"
"280.2905840042139","Infinity"
"288.38323308483496","1770.5818787763085"
"294.71264613156137","1865.5230744772048"
"327.753112855276","2394.170542056639"
"340.11321654110566","1289.786048672042"
"362.18252451271167","1466.34051244489"
"371.8601965011279","1548.6007243464283"
"376.2059322387811","1587.712345985307"
"392.8143114814863","1745.4919487910065"
"413.18495721708393","1949.198406146983"
"426.394635909408","2087.900032416386"
"495.63807129245015","2849.5778216298495"
"553.5470763709125","2305.0815833024694"
"713.1964477545746","2527.0580443951626"
"747.1763909811598","2150.7702197771537"
"895.8619365298957","2238.3651531271694"
"997.8809498066732","2166.359163495462"
"1066.0049043838153","2031.8121772128134"
"1240.8395173338683","2097.4462902170335"
"1334.82267908203","2019.2780876427564"
"1402.2131720679668","1915.3506622949767"
"1538.5014349850687","1892.0263700208307"
"1575.5472263905435","1777.8323189007838"
"1831.1759239298553","1833.4362229359506"
"1841.1615709196155","1717.1985296007433"
"2076.9308922821497","1727.7582821819638"
"2123.869021946774","1645.4529072096348"
"2256.840066989773","1598.362538490099"
"2410.2477033340897","1554.6086249759667"
"2511.059121382147","1497.0404773367798"
"2706.7773985125878","1453.7125894346152"
"2745.650272235157","1391.168642071457"
"2904.7784823173506","1337.601666767576"
